iter	Passed	Remaining
1300	41736	22423
1301	41768	22392
1302	41802	22360
1303	41842	22333
1304	41873	22300
1305	41905	22268
1306	41943	22239
1307	41972	22205
1308	42003	22173
1309	42038	22142
1310	42070	22110
1311	42102	22078
1312	42130	22043
1313	42163	22012
1314	42192	21978
1315	42225	21947
1316	42255	21913
1317	42284	21880
1318	42315	21847
1319	42344	21813
1320	42372	21779
1321	42404	21747
1322	42434	21714
1323	42471	21684
1324	42507	21654
1325	42545	21625
1326	42576	21592
1327	42606	21560
1328	42643	21530
1329	42673	21497
1330	42703	21463
1331	42735	21431
1332	42772	21402
1333	42808	21372
1334	42847	21343
1335	42881	21312
1336	42920	21283
1337	42953	21251
1338	42995	21225
1339	43033	21195
1340	43065	21163
1341	43099	21132
1342	43141	21105
1343	43177	21074
1344	43213	21044
1345	43248	21013
1346	43284	20983
1347	43325	20955
1348	43362	20925
1349	43393	20893
1350	43424	20860
1351	43461	20830
1352	43499	20801
1353	43535	20771
1354	43566	20738
1355	43600	20706
1356	43639	20678
1357	43669	20645
1358	43704	20614
1359	43738	20582
1360	43771	20550
1361	43805	20519
1362	43838	20487
1363	43874	20457
1364	43919	20431
1365	43965	20405
1366	44011	20379
1367	44058	20354
1368	44099	20326
1369	44136	20296
1370	44175	20267
1371	44214	20238
1372	44247	20206
1373	44277	20173
1374	44307	20139
1375	44335	20105
1376	44368	20073
1377	44403	20042
1378	44435	20010
1379	44465	19977
1380	44504	19947
1381	44536	19915
1382	44569	19884
1383	44601	19851
1384	44631	19818
1385	44663	19786
1386	44701	19756
1387	44739	19726
1388	44776	19696
1389	44808	19664
1390	44842	19632
1391	44876	19601
1392	44911	19570
1393	44943	19537
1394	44981	19507
1395	45017	19477
1396	45047	19444
1397	45078	19411
1398	45113	19380
1399	45143	19347
1400	45175	19315
1401	45220	19288
1402	45260	19259
1403	45301	19230
1404	45351	19205
1405	45394	19178
1406	45434	19149
1407	45479	19122
1408	45521	19093
1409	45564	19065
1410	45601	19035
1411	45640	19006
